,accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
28,0000320193-24-000006,2024-02-02,2023-12-30,2024-02-01T18:03:38.000Z,34,10-Q,001-36743,24588164,,4984121,1,1,aapl-20231230.htm,10-Q
61,0000320193-23-000077,2023-08-04,2023-07-01,2023-08-03T18:04:43.000Z,34,10-Q,001-36743,231141522,,5939898,1,1,aapl-20230701.htm,10-Q
70,0000320193-23-000064,2023-05-05,2023-04-01,2023-05-04T18:03:52.000Z,34,10-Q,001-36743,23890444,,6314786,1,1,aapl-20230401.htm,10-Q
109,0000320193-23-000006,2023-02-03,2022-12-31,2023-02-02T18:01:30.000Z,34,10-Q,001-36743,23582662,,5915088,1,1,aapl-20221231.htm,10-Q
142,0000320193-22-000070,2022-07-29,2022-06-25,2022-07-28T18:06:56.000Z,34,10-Q,001-36743,221116600,,6109993,1,1,aapl-20220625.htm,10-Q
149,0000320193-22-000059,2022-04-29,2022-03-26,2022-04-28T18:03:58.000Z,34,10-Q,001-36743,22868650,,6140838,1,1,aapl-20220326.htm,10-Q
182,0000320193-22-000007,2022-01-28,2021-12-25,2022-01-27T18:00:58.000Z,34,10-Q,001-36743,22564628,,5669748,1,1,aapl-20211225.htm,10-Q
218,0000320193-21-000065,2021-07-28,2021-06-26,2021-07-27T18:03:42.000Z,34,10-Q,001-36743,211119137,,8446381,1,1,aapl-20210626.htm,10-Q
222,0000320193-21-000056,2021-04-29,2021-03-27,2021-04-28T18:02:54.000Z,34,10-Q,001-36743,21866148,,8468959,1,1,aapl-20210327.htm,10-Q
254,0000320193-21-000010,2021-01-28,2020-12-26,2021-01-27T18:03:06.000Z,34,10-Q,001-36743,21561251,,7608244,1,1,aapl-20201226.htm,10-Q
284,0000320193-20-000062,2020-07-31,2020-06-27,2020-07-30T19:29:09.000Z,34,10-Q,001-36743,201062122,,11076413,1,1,aapl-20200627.htm,10-Q
291,0000320193-20-000052,2020-05-01,2020-03-28,2020-04-30T18:03:10.000Z,34,10-Q,001-36743,20837377,,10648806,1,1,a10-qq220203282020.htm,10-Q
318,0000320193-20-000010,2020-01-29,2019-12-28,2020-01-28T18:02:44.000Z,34,10-Q,001-36743,20555794,,9292589,1,1,a10-qq1202012282019.htm,10-Q
357,0000320193-19-000076,2019-07-31,2019-06-29,2019-07-31T16:31:53.000Z,34,10-Q,001-36743,19989192,,10526242,1,1,a10-qq320196292019.htm,10-Q
361,0000320193-19-000066,2019-05-01,2019-03-30,2019-05-01T16:32:00.000Z,34,10-Q,001-36743,19788072,,10459511,1,1,a10-qq220193302019.htm,10-Q
395,0000320193-19-000010,2019-01-30,2018-12-29,2019-01-30T16:31:37.000Z,34,10-Q,001-36743,19552275,,8176346,1,0,a10-qq1201912292018.htm,10-Q
426,0000320193-18-000100,2018-08-01,2018-06-30,2018-08-01T16:31:48.000Z,34,10-Q,001-36743,18985212,,9373238,1,0,a10-qq320186302018.htm,10-Q
442,0000320193-18-000070,2018-05-02,2018-03-31,2018-05-02T16:32:12.000Z,34,10-Q,001-36743,18800115,,9743668,1,0,a10-qq220183312018.htm,10-Q
475,0000320193-18-000007,2018-02-02,2017-12-30,2018-02-02T08:01:26.000Z,34,10-Q,001-36743,18568703,,8606471,1,0,a10-qq1201812302017.htm,10-Q
530,0000320193-17-000009,2017-08-02,2017-07-01,2017-08-02T16:31:28.000Z,34,10-Q,001-36743,171000359,,10155269,1,0,a10-qq32017712017.htm,10-Q
562,0001628280-17-004790,2017-05-03,2017-04-01,2017-05-03T16:32:23.000Z,34,10-Q,001-36743,17809653,,9684229,1,0,a10-qq22017412017.htm,10-Q
613,0001628280-17-000717,2017-02-01,2016-12-31,2017-02-01T16:33:29.000Z,34,10-Q,001-36743,17565317,,8206325,1,0,a10-qq1201712312016.htm,10-Q
676,0001628280-16-017809,2016-07-27,2016-06-25,2016-07-27T16:32:36.000Z,34,10-Q,001-36743,161787078,,9797615,1,0,a10-qq320166252016.htm,10-Q
693,0001193125-16-559625,2016-04-27,2016-03-26,2016-04-27T16:32:53.000Z,34,10-Q,001-36743,161595799,,6290156,1,0,d165350d10q.htm,10-Q
736,0001193125-16-439878,2016-01-27,2015-12-26,2016-01-27T16:32:03.000Z,34,10-Q,001-36743,161365395,,5367146,1,0,d66145d10q.htm,FORM 10-Q
800,0001193125-15-259935,2015-07-22,2015-06-27,2015-07-22T17:01:17.000Z,34,10-Q,001-36743,151000501,,6580324,1,0,d927922d10q.htm,FORM 10-Q
819,0001193125-15-153166,2015-04-28,2015-03-28,2015-04-28T17:01:16.000Z,34,10-Q,001-36743,15799362,,8633862,1,0,d892246d10q.htm,10-Q
862,0001193125-15-023697,2015-01-28,2014-12-27,2015-01-28T16:39:32.000Z,34,10-Q,001-36743,15555294,,7838312,1,0,d835533d10q.htm,10-Q
909,0001193125-14-277160,2014-07-23,2014-06-28,2014-07-23T16:32:48.000Z,34,10-Q,000-10030,14989142,,9545320,1,0,d740164d10q.htm,10-Q
931,0001193125-14-157311,2014-04-24,2014-03-29,2014-04-24T17:02:12.000Z,34,10-Q,000-10030,14782284,,8315535,1,0,d694710d10q.htm,10-Q
973,0001193125-14-024487,2014-01-28,2013-12-28,2014-01-28T17:07:27.000Z,34,10-Q,000-10030,14553777,,7520647,1,0,d644622d10q.htm,10-Q
